year,month,day,weekday,oil,monthPrice,sky,wind,rain,snow,humid,season,temp,Americano_ICE,Americono_HOT,CafeMocha,Aide,Latte,Hazelnut,Espresso,Caramel Maki
2017,10,1,6,1504,103.4,5,1.1,0,0,83,3,18.2,100,51,35,21,11,8,12,15
2017,10,2,0,1504,103.4,5,1,47.3,0,96.6,3,21.1,112,53,32,23,13,9,13,16
2017,10,3,1,1504,103.4,2,1,9.6,0,75.8,3,19.5,131,34,34,26,15,7,5,17
2017,10,4,2,1504,103.4,3,1.4,0,0,76.5,3,19.3,116,45,31,16,14,4,15,18
2017,10,5,3,1504,103.4,5,1.9,0,0,85.4,3,17.4,109,64,28,14,9,5,10,11
2017,10,6,4,1504,103.4,5,1.8,7.6,0,99,3,16.5,94,68,26,23,7,6,8,13
2017,10,7,5,1504,103.4,2,1.2,8.3,0,85.9,3,20.8,98,46,15,18,16,4,4,14
2017,10,8,6,1504,103.4,1,0.8,0,0,82.9,3,22.3,96,64,28,17,15,2,8,15
2017,10,9,0,1504,103.4,1,0.7,0,0,82.3,3,23,90,54,32,12,17,1,9,16
2017,10,10,1,1504,103.4,2,0.8,0,0,88,3,23.2,103,58,22,13,18,4,21,14
2017,10,11,2,1504,103.4,5,1.6,0,0,94.1,3,18.5,109,57,20,11,19,5,4,11
2017,10,12,3,1504,103.4,5,2.1,1.8,0,94,3,13,107,59,26,18,16,3,5,10
2017,10,13,4,1504,103.4,2,2.5,7.7,0,61.8,3,14.2,101,56,32,16,15,6,6,19
2017,10,14,5,1504,103.4,3,2.9,0,0,47,3,16.8,98,57,24,12,15,4,7,18
2017,10,15,6,1504,103.4,5,2,0,0,83.5,3,15.1,94,48,20,15,14,5,6,15
2017,10,16,0,1504,103.4,5,2.1,3.1,0,75.6,3,16.9,100,46,18,18,21,10,5,16
2017,10,17,1,1504,103.4,4,1.2,0,0,76.3,3,16.8,84,44,26,17,14,4,4,14
2017,10,18,2,1504,103.4,5,2.4,0,0,74.9,3,16.8,80,80,24,8,18,5,1,12
2017,10,19,3,1504,103.4,3,1.6,0,0,66.5,3,17.1,103,64,22,16,16,6,2,13
2017,10,20,4,1504,103.4,1,1.2,0,0,72.8,3,17.5,94,68,21,15,9,8,3,15
2017,10,21,5,1504,103.4,1,1.8,0,0,64.3,3,18,97,78,23,14,8,7,4,14
2017,10,22,6,1504,103.4,1,3.5,0,0,51.4,3,17.9,108,74,26,12,9,4,5,14
2017,10,23,0,1504,103.4,2,1.4,0,0,58.1,3,15.3,121,53,26,28,10,6,6,13
2017,10,24,1,1504,103.4,5,1,0,0,71.6,3,14.4,83,69,27,11,11,5,8,12
2017,10,25,2,1504,103.4,1,0.9,0,0,78.9,3,13.7,90,100,28,12,12,4,8,12
2017,10,26,3,1504,103.4,3,0.6,0,0,72,3,14.7,201,183,65,38,24,18,24,21
2017,10,27,4,1504,103.4,2,0.5,0,0,71.3,3,16.5,68,110,24,13,19,8,7,10
2017,10,28,5,1504,103.4,1,0.9,0,0,73.6,3,17.3,84,108,21,10,15,9,8,9
2017,10,29,6,1504,103.4,2,2.1,0,0,68.1,3,13.8,64,106,22,8,10,10,9,7
2017,10,30,0,1504,103.4,1,1.9,0,0,47.9,3,9.7,89,95,20,16,11,12,10,13
2017,10,31,1,1504,103.4,1,0.8,0,0,61.5,3,10.6,98,94,19,19,12,10,6,14
